dataset,role,fold,seed,subject,recipe,persistent_norm,transient_norm,persistent_transient_ratio,transient_mean_norm,historical_crossfit_gain,n_historical_blocks,fisher_a_sum,fisher_c_sum,adapter_collapse,transient_zero_center_error
OpenBMI,outcome,0,2,32,pda_r1_lx0.5_lp0.01,0.43802740664864304,0.0575883268863584,7.606183932258042,0.0,-0.47,2,89.94807319876129,25.841295235766104,False,0.0
OpenBMI,outcome,0,2,33,pda_r1_lx0.5_lp0.01,0.4926479627844658,0.02428843913637113,20.283228577119303,0.0,-0.5,2,96.10124040840753,23.91859261086562,False,0.0
OpenBMI,outcome,0,2,41,pda_r1_lx0.5_lp0.01,0.25311429835091354,0.010589931676016115,23.90140995188498,0.0,-0.6100000000000001,2,53.19902603560165,17.175960312191158,False,0.0
OpenBMI,outcome,0,2,46,pda_r1_lx0.5_lp0.01,0.42445773779694945,0.014916788014343818,28.455035855493527,0.0,-0.43000000000000005,2,110.72181812894475,31.574062357212707,False,0.0
OpenBMI,outcome,0,2,47,pda_r1_lx0.5_lp0.01,0.47662000630215157,0.0002907754315312483,1639.1343786929654,0.0,-0.5700000000000001,2,109.21582730146281,31.73142107444055,False,0.0
OpenBMI,outcome,0,2,49,pda_r1_lx0.5_lp0.01,0.5403208329426378,0.08080329417984689,6.686866401016098,0.0,-0.53,2,119.93733483959298,31.374667283978283,False,0.0
OpenBMI,outcome,1,0,2,pda_r1_lx0.5_lp0.01,0.3172024421919695,0.05741807549745258,5.5244352835553086,0.0,-0.27,2,19.672384983223832,23.103604506583462,False,0.0
OpenBMI,outcome,1,0,14,pda_r1_lx0.5_lp0.01,0.2086398502849343,0.004719834424160296,44.20490880292974,0.0,-0.48,2,12.522662464474074,19.427142126056054,False,0.0
OpenBMI,outcome,1,0,34,pda_r1_lx0.5_lp0.01,0.3211837090436375,0.012874155498749568,24.947943892306817,0.0,-0.43000000000000005,2,16.40395388803011,21.792102031968838,False,0.0
OpenBMI,outcome,1,0,40,pda_r1_lx0.5_lp0.01,0.16467952657930052,0.013984068647324682,11.776224125644982,0.0,-0.5,2,10.467118133432518,15.679818581141697,False,0.0
OpenBMI,outcome,1,0,43,pda_r1_lx0.5_lp0.01,0.20109570810838193,0.041673521922500914,4.8255030732068676,0.0,-0.37,2,10.427034580259802,12.758904437024537,False,0.0
OpenBMI,outcome,1,0,44,pda_r1_lx0.5_lp0.01,0.4695432422367557,0.011014212746461222,42.63066757881685,0.0,0.0,2,25.453085157089266,29.18491439140893,False,0.0
OpenBMI,outcome,1,0,48,pda_r1_lx0.5_lp0.01,0.4121454054699182,0.012367377993826756,33.325204879776685,0.0,-0.39999999999999997,2,16.19982172102884,18.544000871953152,False,0.0
OpenBMI,outcome,1,0,50,pda_r1_lx0.5_lp0.01,0.17410362856221903,0.09541492840665103,1.824700091166058,0.0,-0.32999999999999996,2,26.078411820304396,24.081261973640327,False,0.0
OpenBMI,outcome,1,1,2,pda_r1_lx0.5_lp0.01,0.09286171584909594,0.0028294295639148884,32.81994258963264,0.0,-0.24,2,2.54181222703078,13.226652172301772,False,0.0
OpenBMI,outcome,1,1,14,pda_r1_lx0.5_lp0.01,0.06666185013442125,0.0038737147498938557,17.208765858727173,0.0,-0.54,2,1.6356527296134975,13.190415690609335,False,0.0
