comparison,task,target,feature_set,heldout_fold,training_scope,feature,standardized_coefficient,mean_coefficient,mean_absolute_coefficient,sign_consistency
X,OpenBMI_ERP,CLEAN_RESCUE_VS_HARM,MECH,2,seed0,scale_alpha_entropy,-0.14150935990860866,-0.2224091893797259,0.2282606217931129,0.8
X,OpenBMI_ERP,CLEAN_RESCUE_VS_HARM,MECH,2,seed0,scale_alpha_range,0.010707757463616848,-0.03145655230178638,0.03573965528723312,0.8
X,OpenBMI_ERP,CLEAN_RESCUE_VS_HARM,MECH,2,seed0,b0_embedding_l2_norm,0.1620859003908112,0.21064067538713563,0.21064067538713563,1.0
X,OpenBMI_ERP,CLEAN_RESCUE_VS_HARM,MECH,2,seed0,b0_final_temporal_feature_l2_norm,-0.02509562108043518,-0.03076852428761932,0.10943827567235345,0.8
X,OpenBMI_ERP,CLEAN_RESCUE_VS_HARM,MECH,3,seed0,b0_top1_probability,-0.01850414300685325,-0.015457575808668694,0.025841335329528904,0.6
X,OpenBMI_ERP,CLEAN_RESCUE_VS_HARM,MECH,3,seed0,b0_margin,-0.01850425008215829,-0.015457775840169182,0.02584129845519345,0.6
X,OpenBMI_ERP,CLEAN_RESCUE_VS_HARM,MECH,3,seed0,b0_entropy,0.21381848941117199,0.17165200034687805,0.17165200034687803,1.0
X,OpenBMI_ERP,CLEAN_RESCUE_VS_HARM,MECH,3,seed0,b0_logit_l2_norm,-0.12117357661284184,-0.04561221788133331,0.11354676340819267,0.6
X,OpenBMI_ERP,CLEAN_RESCUE_VS_HARM,MECH,3,seed0,candidate_top1_probability,-0.019874678400915943,-0.03295321795940519,0.032953217959405194,1.0
X,OpenBMI_ERP,CLEAN_RESCUE_VS_HARM,MECH,3,seed0,candidate_margin,-0.019875086044833307,-0.032953538804818605,0.032953538804818605,1.0
X,OpenBMI_ERP,CLEAN_RESCUE_VS_HARM,MECH,3,seed0,candidate_entropy,-0.16582583922759173,-0.26336231022727963,0.26336231022727963,1.0
X,OpenBMI_ERP,CLEAN_RESCUE_VS_HARM,MECH,3,seed0,candidate_logit_l2_norm,0.12768211871039642,0.12000029635743532,0.15514512455048446,0.8
X,OpenBMI_ERP,CLEAN_RESCUE_VS_HARM,MECH,3,seed0,top1_probability_difference,-0.001954703778844097,-0.013023035902060465,0.01814040681585219,0.8
X,OpenBMI_ERP,CLEAN_RESCUE_VS_HARM,MECH,3,seed0,margin_difference,-0.001954918915124435,-0.01302313256518092,0.018140481261350254,0.8
X,OpenBMI_ERP,CLEAN_RESCUE_VS_HARM,MECH,3,seed0,entropy_difference,-0.2486378994556363,-0.2952312646057969,0.29523126460579696,1.0
X,OpenBMI_ERP,CLEAN_RESCUE_VS_HARM,MECH,3,seed0,probability_L1_distance,-0.028846009791432026,-0.03723628011886835,0.03723628011886835,1.0
X,OpenBMI_ERP,CLEAN_RESCUE_VS_HARM,MECH,3,seed0,JS_divergence,0.15550993548064662,-0.015243321858734171,0.09670730708715339,0.6
X,OpenBMI_ERP,CLEAN_RESCUE_VS_HARM,MECH,3,seed0,candidate_embedding_l2_norm,-0.018469756379398173,0.02482528226793577,0.0500662194148182,0.6
X,OpenBMI_ERP,CLEAN_RESCUE_VS_HARM,MECH,3,seed0,candidate_prehead_feature_l2_norm,-0.018469756379398173,0.02482528226793577,0.0500662194148182,0.6
X,OpenBMI_ERP,CLEAN_RESCUE_VS_HARM,MECH,3,seed0,mixer_block1_relative_update_norm,-0.11120426388912409,-0.12062329623052648,0.12062329623052648,1.0
X,OpenBMI_ERP,CLEAN_RESCUE_VS_HARM,MECH,3,seed0,mixer_block2_relative_update_norm,-0.1441889693934432,0.0005679126677841761,0.12929574309135983,0.6
X,OpenBMI_ERP,CLEAN_RESCUE_VS_HARM,MECH,3,seed0,mixer_block3_relative_update_norm,0.09478748237422353,0.1415715268187198,0.14643008141251732,0.8
X,OpenBMI_ERP,CLEAN_RESCUE_VS_HARM,MECH,3,seed0,scale_alpha_max,0.014603511832042119,-0.009033167237907985,0.031232446400372066,0.6
X,OpenBMI_ERP,CLEAN_RESCUE_VS_HARM,MECH,3,seed0,scale_alpha_min,0.06781185125611039,0.0700925898638218,0.07009258986382179,1.0
