model,task,fold,seed,status,block_id,block_rank,score_U,persistence_margin,persistence_pass,subject_id,future_BA,worst_BA
EEGNet,OpenBMI_MI,3,2,ESTIMABLE,2,1,0.0009401590695564291,0.0767110588029027,True,17,0.578125,0.46875
EEGNet,OpenBMI_MI,3,2,ESTIMABLE,2,1,0.0009401590695564291,0.0767110588029027,True,18,0.421875,0.421875
EEGNet,OpenBMI_MI,3,2,ESTIMABLE,2,1,0.0009401590695564291,0.0767110588029027,True,24,0.453125,0.453125
EEGNet,OpenBMI_MI,3,2,ESTIMABLE,2,1,0.0009401590695564291,0.0767110588029027,True,25,0.875,0.59375
EEGNet,OpenBMI_MI,3,2,ESTIMABLE,2,1,0.0009401590695564291,0.0767110588029027,True,29,0.53125,0.46875
EEGNet,OpenBMI_MI,3,2,ESTIMABLE,2,1,0.0009401590695564291,0.0767110588029027,True,36,0.53125,0.53125
EEGNet,OpenBMI_MI,3,2,ESTIMABLE,2,1,0.0009401590695564291,0.0767110588029027,True,37,0.453125,0.453125
EEGNet,OpenBMI_MI,3,2,ESTIMABLE,2,1,0.0009401590695564291,0.0767110588029027,True,39,0.453125,0.453125
EEGNet,OpenBMI_MI,3,2,ESTIMABLE,2,1,0.0009401590695564291,0.0767110588029027,True,42,0.625,0.625
EEGNet,OpenBMI_MI,3,2,ESTIMABLE,2,1,0.0009401590695564291,0.0767110588029027,True,51,0.53125,0.53125
EEGNet,OpenBMI_MI,3,2,ESTIMABLE,2,1,0.0009401590695564291,0.0767110588029027,True,54,0.5625,0.5625
EEGNet,OpenBMI_MI,3,2,ESTIMABLE,3,4,0.08505287179287023,0.04581921654753387,True,4,0.828125,0.734375
EEGNet,OpenBMI_MI,3,2,ESTIMABLE,3,4,0.08505287179287023,0.04581921654753387,True,12,0.53125,0.53125
EEGNet,OpenBMI_MI,3,2,ESTIMABLE,3,4,0.08505287179287023,0.04581921654753387,True,13,0.671875,0.671875
EEGNet,OpenBMI_MI,3,2,ESTIMABLE,3,4,0.08505287179287023,0.04581921654753387,True,17,0.640625,0.640625
EEGNet,OpenBMI_MI,3,2,ESTIMABLE,3,4,0.08505287179287023,0.04581921654753387,True,18,0.71875,0.546875
EEGNet,OpenBMI_MI,3,2,ESTIMABLE,3,4,0.08505287179287023,0.04581921654753387,True,24,0.578125,0.546875
EEGNet,OpenBMI_MI,3,2,ESTIMABLE,3,4,0.08505287179287023,0.04581921654753387,True,25,0.96875,0.84375
EEGNet,OpenBMI_MI,3,2,ESTIMABLE,3,4,0.08505287179287023,0.04581921654753387,True,29,0.640625,0.609375
EEGNet,OpenBMI_MI,3,2,ESTIMABLE,3,4,0.08505287179287023,0.04581921654753387,True,36,0.859375,0.8125
EEGNet,OpenBMI_MI,3,2,ESTIMABLE,3,4,0.08505287179287023,0.04581921654753387,True,37,0.703125,0.609375
EEGNet,OpenBMI_MI,3,2,ESTIMABLE,3,4,0.08505287179287023,0.04581921654753387,True,39,0.609375,0.609375
EEGNet,OpenBMI_MI,3,2,ESTIMABLE,3,4,0.08505287179287023,0.04581921654753387,True,42,0.765625,0.6875
EEGNet,OpenBMI_MI,3,2,ESTIMABLE,3,4,0.08505287179287023,0.04581921654753387,True,51,0.546875,0.546875
