task,subject,session,variant,BA,macro_F1,NLL,trials,label
OpenBMI_MI,4,S2,PCA_SIGNED_UTILITY_ROUTING,0.72,0.7083333333333334,0.5538759231567383,100,POST_HELDOUT_DEVELOPMENT_EVALUATION
OpenBMI_MI,4,S2,RANDOM_BASIS_0,0.73,0.7175436761167486,0.5569329261779785,100,POST_HELDOUT_DEVELOPMENT_EVALUATION
OpenBMI_MI,4,S2,RANDOM_BASIS_1,0.73,0.7175436761167486,0.5573000907897949,100,POST_HELDOUT_DEVELOPMENT_EVALUATION
OpenBMI_MI,4,S2,RANDOM_BASIS_2,0.73,0.7175436761167486,0.5572913885116577,100,POST_HELDOUT_DEVELOPMENT_EVALUATION
OpenBMI_MI,4,S2,RANDOM_BASIS_3,0.73,0.7175436761167486,0.5570141077041626,100,POST_HELDOUT_DEVELOPMENT_EVALUATION
OpenBMI_MI,4,S2,RANDOM_BASIS_4,0.73,0.7175436761167486,0.5570673942565918,100,POST_HELDOUT_DEVELOPMENT_EVALUATION
OpenBMI_MI,12,S2,BASELINE,0.72,0.7198879551820728,0.5925197005271912,100,POST_HELDOUT_DEVELOPMENT_EVALUATION
OpenBMI_MI,12,S2,PCA_POSITIVE_ONLY_ROUTING,0.71,0.7099709970997099,0.6027324795722961,100,POST_HELDOUT_DEVELOPMENT_EVALUATION
OpenBMI_MI,12,S2,SHUFFLED_UTILITY_ROUTING,0.73,0.72997299729973,0.5929296612739563,100,POST_HELDOUT_DEVELOPMENT_EVALUATION
OpenBMI_MI,12,S2,PCA_SIGNED_UTILITY_ROUTING,0.71,0.7099709970997099,0.6028100848197937,100,POST_HELDOUT_DEVELOPMENT_EVALUATION
OpenBMI_MI,12,S2,RANDOM_BASIS_0,0.72,0.7198879551820728,0.5922060608863831,100,POST_HELDOUT_DEVELOPMENT_EVALUATION
OpenBMI_MI,12,S2,RANDOM_BASIS_1,0.72,0.7198879551820728,0.5925706028938293,100,POST_HELDOUT_DEVELOPMENT_EVALUATION
OpenBMI_MI,12,S2,RANDOM_BASIS_2,0.72,0.7198879551820728,0.5927352905273438,100,POST_HELDOUT_DEVELOPMENT_EVALUATION
